tag	title	txt
#COMMON
noth	COMMON_BUTTON_OK	OK
noth	COMMON_BUTTON_CANCEL	キャンセル
noth	COMMON_BUTTON_CLOSE	閉じる
noth	COMMON_BUTTON_CONFIRM	確定
#GAME
noth	GAME_TITLE	みつ越し商店の奇跡 ¥n 〜負けてよガンマ、恋のために〜
#FOOTER
noth	FOOTER_LABEL_TITLE	タイトル
noth	FOOTER_LABEL_CHARA_SELECT	キャラ¥n選択
noth	FOOTER_LABEL_SHOPPING	おねだり中
noth	FOOTER_LABEL_RESULT	結果
#CHARACTER_SELECT
noth	CHARACTER_CLOTH_PART_LIST_TITLE	今回の買い物一覧
noth	CHARACTER_VALLET_TITLE	今回の所持金
#CHARA_CHAT_MESSAGE
noth	CHARA_CHAT_MESSAGE_GENDER_SELECT_CONFIRM_MALE	どんな服を買ってくれるか楽しみだな！¥nよろしくね！
noth	CHARA_CHAT_MESSAGE_GENDER_SELECT_CONFIRM_FEMALE	珍しい！¥nどんな服を買ってくれるか楽しみですね！
#MINI_GAME
noth	MINI_GAME_DOGEZA_BUTTON_TEXT_TAP	タップせよ！
